,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
0,28.57,37.5,71.71,77.5,76.14,79.0,-4.43,-1.5,147.86,156.5,35.43,43.88,39.29,37.0,-3.86,6.88,13,74.87414,78.68035,153.94766,2,0.6022177934646606,Anadolu Efes
1,66.67,33.33,81.5,78.17,73.0,77.33,8.5,0.83,154.5,155.5,42.0,40.83,38.67,37.67,3.33,3.17,13,81.36768,73.89467,154.24602,1,0.7708656191825867,Petkim Spor
2,60.0,50.0,69.2,86.83,67.6,91.67,1.6,-4.83,136.8,178.5,36.8,39.83,36.6,46.67,0.2,-6.83,13,81.97021,76.71378,164.74634,1,0.6382834911346436,Gaziantep BB
3,33.33,50.0,81.0,74.83,85.5,75.0,-4.5,-0.17,166.5,149.83,40.83,35.5,40.0,37.83,0.83,-2.33,13,78.14313,82.23529,159.45367,2,0.7117358446121216,Galatasaray
4,60.0,100.0,96.8,88.2,88.0,72.2,8.8,16.0,184.8,160.4,49.2,44.0,45.4,35.6,3.8,8.4,13,84.41625,94.0243,180.8087,2,0.9065049290657043,Tofaş
13,0.0,100.0,115.0,123.0,123.0,115.0,-8.0,8.0,238.0,238.0,58.0,68.0,68.0,58.0,-10.0,10.0,13,116.802826,123.9665,239.0169,2,0.9601380228996277,Orlando
14,0.0,100.0,86.0,97.0,97.0,86.0,-11.0,11.0,183.0,183.0,35.0,58.0,58.0,35.0,-23.0,23.0,13,88.66155,99.51277,189.12767,2,0.9677464365959167,Washington
15,100.0,0.0,128.0,106.0,106.0,128.0,22.0,-22.0,234.0,234.0,68.0,66.0,66.0,68.0,2.0,-2.0,13,124.59566,106.69311,232.84828,1,0.9761641621589661,Memphis
16,66.67,66.67,83.5,88.17,79.5,93.17,4.0,-5.0,163.0,181.33,39.0,42.83,36.0,43.83,3.0,-1.0,13,91.69063,82.16663,176.68686,2,0.548936128616333,Burgos
17,16.67,16.67,71.67,70.0,85.83,89.67,-14.17,-19.67,157.5,159.67,37.17,32.83,40.67,40.83,-3.5,-8.0,13,83.44362,78.39359,165.52568,1,0.5694705247879028,Gipuzkoa
18,100.0,33.33,89.5,81.0,74.75,81.33,14.75,-0.33,164.25,162.33,42.75,37.67,41.5,40.33,1.25,-2.67,13,91.150085,75.27097,164.19502,1,0.9474880695343018,Enel Brindisi
19,33.33,25.0,69.67,78.5,67.0,87.0,2.67,-8.5,136.67,165.5,34.0,32.75,32.0,48.0,2.0,-15.25,13,82.92265,73.61324,156.91731,1,0.5260635018348694,Gravelines
20,83.33,0.0,79.33,72.0,70.67,94.5,8.67,-22.5,150.0,166.5,37.0,37.0,36.5,47.5,0.5,-10.5,13,90.82463,71.09607,163.16539,1,0.9071308970451355,Levallois
21,50.0,0.0,71.5,84.67,74.5,91.0,-3.0,-6.33,146.0,175.67,39.5,42.33,29.0,42.0,10.5,0.33,13,87.682236,86.07363,171.1328,1,0.896043598651886,Le Portel
22,50.0,66.67,83.5,87.67,76.5,82.33,7.0,5.33,160.0,170.0,36.5,43.67,39.5,40.67,-3.0,3.0,13,85.10206,83.37369,170.00926,2,0.6823300719261169,Limoges
23,50.0,0.0,85.5,73.0,87.5,89.67,-2.0,-16.67,173.0,162.67,39.5,36.33,46.0,43.0,-6.5,-6.67,13,92.233406,80.11988,178.22208,1,0.9074885845184326,Nanterre
24,50.0,40.0,77.0,74.4,75.5,78.8,1.5,-4.4,152.5,153.2,40.0,39.0,35.0,36.6,5.0,2.4,13,77.85398,74.79741,154.51627,1,0.5301473736763,Merkezefendi
25,80.0,0.0,80.2,73.6,71.0,86.2,9.2,-12.6,151.2,159.8,38.8,34.4,32.0,45.4,6.8,-11.0,13,85.46475,71.819725,159.28093,1,0.9071308970451355,Manisa Bşb
26,60.0,40.0,76.0,78.4,72.4,82.0,3.6,-3.6,148.4,160.4,38.8,41.2,37.0,38.0,1.8,3.2,13,79.26844,73.7744,151.79445,1,0.6657140254974365,Mamak
27,40.0,0.0,79.8,64.8,85.2,81.2,-5.4,-16.4,165.0,146.0,43.2,29.8,46.0,43.2,-2.8,-13.4,13,85.723236,74.91006,159.65343,1,0.8599880933761597,Gemlik
28,60.0,40.0,74.6,72.4,66.8,74.2,7.8,-1.8,141.4,146.6,38.8,36.0,33.6,40.0,5.2,-4.0,13,73.176796,66.4324,142.40733,1,0.6657140254974365,Semt77 Yalova
29,100.0,0.0,103.0,62.0,54.0,68.0,49.0,-6.0,157.0,130.0,56.0,28.0,28.0,41.0,28.0,-13.0,13,80.77956,58.121243,143.57968,1,0.9729622006416321,Çeşme
30,100.0,0.0,76.0,65.0,69.0,81.0,7.0,-16.0,145.0,146.0,43.0,36.0,36.0,47.0,7.0,-11.0,13,78.08344,68.151535,144.55717,1,0.9761641621589661,Antalya 07 (K)
31,0.0,100.0,46.0,77.0,69.0,75.0,-23.0,2.0,115.0,152.0,22.0,32.0,36.0,35.0,-14.0,-3.0,13,55.0547,70.08375,123.48961,2,0.9677464365959167,Düzce
32,100.0,0.0,83.0,54.0,60.0,103.0,23.0,-49.0,143.0,157.0,45.0,28.0,37.0,56.0,8.0,-28.0,13,92.920616,54.898106,150.38432,1,0.9761641621589661,Emlak Konut(K)
35,0.0,100.0,58.0,94.0,61.0,54.0,-3.0,40.0,119.0,148.0,32.0,41.0,29.0,31.0,3.0,10.0,13,54.890156,79.42194,133.97891,2,0.9518751502037048,Mersin Gel.(K)
38,66.67,0.0,77.67,72.0,67.67,84.75,10.0,-12.75,145.33,156.75,36.33,35.25,38.67,45.75,-2.33,-10.5,13,85.14629,68.126755,153.84026,1,0.9089728593826294,Kolossos
39,50.0,25.0,75.0,71.25,74.25,84.25,0.75,-13.0,149.25,155.5,36.75,37.75,37.0,42.5,-0.25,-4.75,13,81.06206,72.00935,154.45189,1,0.7166486978530884,Peristeri
40,0.0,0.0,65.75,83.0,79.25,94.0,-13.5,-11.0,145.0,177.0,32.5,42.0,36.5,46.0,-4.0,-4.0,13,84.2369,87.22302,175.04692,2,0.5427326560020447,Ionikos
41,50.0,33.33,68.25,68.33,65.25,76.67,3.0,-8.33,133.5,145.0,35.75,39.33,32.75,36.33,3.0,3.0,13,71.90086,69.10811,142.85413,1,0.6559003591537476,Iraklis
42,100.0,100.0,86.0,89.67,70.0,75.67,16.0,14.0,156.0,165.33,46.0,46.67,30.33,38.0,15.67,8.67,13,80.44595,78.91098,158.25172,1,0.8480581641197205,ALBA Berlin
43,0.0,33.33,66.0,82.33,84.5,94.33,-18.5,-12.0,150.5,176.67,35.0,42.67,38.0,47.67,-3.0,-5.0,13,78.83602,88.997406,172.04951,2,0.8219330906867981,S. Frankfurt
44,100.0,33.33,87.0,77.0,76.0,83.0,11.0,-6.0,163.0,160.0,42.0,41.33,39.5,43.0,2.5,-1.67,13,87.57073,72.241684,158.75475,1,0.9474880695343018,Brose Baskets
45,100.0,0.0,91.67,76.33,77.33,86.67,14.33,-10.33,169.0,163.0,44.67,39.33,35.67,41.0,9.0,-1.67,13,91.71617,75.29883,167.60614,1,0.9761641621589661,Riesen
47,0.0,50.0,68.67,83.5,78.0,78.5,-9.33,5.0,146.67,162.0,40.0,45.0,43.33,40.5,-3.33,4.5,13,73.9103,83.9731,156.1304,2,0.8856406211853027,Krka
48,0.0,42.86,81.0,77.57,87.33,78.14,-6.33,-0.57,168.33,155.71,37.33,36.29,40.33,37.0,-3.0,-0.71,13,80.68455,84.7056,162.30214,2,0.8519938588142395,D. Gornicza
49,58.33,42.86,86.75,75.0,83.5,75.29,3.25,-0.29,170.25,150.29,45.75,36.57,41.0,41.14,4.75,-4.57,13,83.59043,81.57396,165.73828,1,0.6657140254974365,KK Anwil
50,50.0,12.5,85.33,80.0,86.0,88.38,-0.67,-8.38,171.33,168.38,39.83,36.75,40.83,45.0,-1.0,-8.25,13,91.00193,80.93726,175.4285,1,0.882011890411377,Astoria
51,25.0,50.0,74.5,81.88,85.75,81.38,-11.25,0.5,160.25,163.25,34.25,37.88,42.5,41.5,-8.25,-3.63,13,78.65568,86.00269,165.71642,2,0.7516687512397766,Dzukija Alytus
52,25.0,20.0,74.5,86.6,85.75,89.8,-11.25,-3.2,160.25,176.4,34.25,43.4,42.5,46.4,-8.25,-3.0,13,84.65352,90.61439,178.4429,1,0.5723335146903992,Dzukija Alytus
56,22.22,55.56,103.0,101.78,110.89,100.22,-7.89,1.56,213.89,202.0,52.33,51.44,55.67,45.78,-3.33,5.67,13,107.043564,111.91313,216.54822,2,0.7117358446121216,Fujian Xunxing
57,44.44,85.71,112.67,132.57,108.89,117.86,3.78,14.71,221.56,250.43,56.67,62.43,49.33,54.57,7.33,7.86,13,120.19904,133.59433,248.93047,2,0.7970210909843445,Zhejiang Lions
67,28.57,66.67,73.71,78.42,81.57,74.75,-7.86,3.67,155.29,153.17,38.0,36.83,37.14,34.08,0.86,2.75,13,72.121864,81.75237,154.46158,2,0.7849655151367188,Shimane SM
73,20.0,87.5,73.6,81.88,96.2,69.63,-22.6,12.25,169.8,151.5,35.6,43.13,49.4,32.38,-13.8,10.75,13,70.67902,94.16128,161.97865,2,0.9380655288696289,Bahia
74,57.14,50.0,83.57,74.13,75.86,74.0,7.71,0.13,159.43,148.13,39.29,34.5,38.0,36.0,1.29,-1.5,13,80.13252,72.59552,154.54456,1,0.6382834911346436,Almagro
75,57.14,42.86,69.57,73.43,71.14,87.0,-1.57,-13.57,140.71,160.43,35.57,33.43,33.14,37.71,2.43,-4.29,13,74.14847,69.74142,147.35054,1,0.693852961063385,Obras
76,40.0,37.5,78.0,70.5,81.4,75.75,-3.4,-5.25,159.4,146.25,43.6,33.25,37.6,37.5,6.0,-4.25,13,75.138695,80.77749,155.67247,2,0.5610116720199585,Penarol
77,20.0,42.86,67.4,78.0,76.6,79.71,-9.2,-1.71,144.0,157.71,32.0,39.29,35.4,40.0,-3.4,-0.71,13,71.86462,78.43464,148.90086,2,0.833368718624115,Ferro
78,33.33,75.0,77.5,76.38,79.0,70.63,-1.5,5.75,156.5,147.0,34.17,35.5,40.17,36.63,-6.0,-1.13,13,73.01075,76.618454,147.60828,2,0.8063792586326599,Hispano
79,80.0,0.0,80.8,74.5,83.0,82.17,-2.2,-7.67,163.8,156.67,37.4,36.5,39.8,41.83,-2.4,-5.33,13,81.19721,78.63901,160.72049,1,0.8956467509269714,Boca Juniors
80,80.0,42.86,82.0,80.71,74.0,71.43,8.0,9.29,156.0,152.14,40.2,38.14,37.0,31.71,3.2,6.43,13,78.26267,74.06235,152.05782,1,0.7713472843170166,Platense
81,33.33,37.5,81.17,75.5,82.17,73.63,-1.0,1.88,163.33,149.13,38.0,36.63,37.83,39.0,0.17,-2.38,13,77.31038,80.684875,153.92351,2,0.5952808260917664,Arjantin
82,40.0,57.14,68.4,82.0,67.4,78.14,1.0,3.86,135.8,160.14,33.0,39.29,31.6,37.0,1.4,2.29,13,71.43786,75.76399,147.0794,2,0.6998453140258789,Esgrima
84,75.0,60.0,85.0,83.2,75.75,87.0,9.25,-3.8,160.75,170.2,46.25,40.8,38.0,40.4,8.25,0.4,13,91.71375,78.55937,171.89737,1,0.671117901802063,Unifacisa
85,75.0,100.0,92.0,101.0,79.25,77.6,12.75,23.4,171.25,178.6,50.0,48.2,39.0,34.0,11.0,14.2,13,83.229675,89.951225,176.8788,2,0.8198079466819763,Minas
86,40.0,0.0,75.4,69.5,78.6,79.75,-3.2,-10.25,154.0,149.25,35.0,34.0,38.0,43.25,-3.0,-9.25,13,81.7474,73.74667,154.48506,1,0.8599880933761597,Cearense
