,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
0,46.67,50.0,76.73,79.57,77.8,77.79,-1.07,1.79,154.53,157.36,39.07,43.36,40.2,37.0,-1.13,6.36,28.57,37.5,71.71,77.5,76.14,79.0,-4.43,-1.5,147.86,156.5,35.43,43.88,39.29,37.0,-3.86,6.88,54,73.6874,75.95202,149.66284,2,0.6897333264350891,Anadolu Efes
3,33.33,27.27,81.0,80.09,80.75,85.45,0.25,-5.36,161.75,165.55,42.83,42.18,41.17,43.82,1.67,-1.64,33.33,0.0,80.5,78.6,76.0,85.2,4.5,-6.6,156.5,163.8,41.83,41.8,39.83,43.6,2.0,-1.8,68,89.701355,80.93355,169.64827,1,0.8943477272987366,Beşiktaş
4,25.0,50.0,77.83,78.83,87.92,83.17,-10.08,-4.33,165.75,162.0,41.0,39.33,45.92,43.0,-4.92,-3.67,33.33,33.33,78.17,76.17,87.5,87.67,-9.33,-11.5,165.67,163.83,42.17,38.83,44.67,43.17,-2.5,-4.33,68,83.45358,82.76854,167.72353,2,0.7754184007644653,Orman
10,71.43,84.62,81.86,86.85,76.79,78.54,5.07,8.31,158.64,165.38,38.14,39.62,37.71,36.54,0.43,3.08,85.71,83.33,80.71,84.67,72.57,80.17,8.14,4.5,153.29,164.83,39.29,37.0,35.57,39.0,3.71,-2.0,89,79.75047,78.7066,159.99797,2,0.7445068955421448,Baskonia
11,78.57,69.23,83.86,84.62,74.14,79.46,9.71,5.15,158.0,164.08,42.07,41.62,35.79,38.15,6.29,3.46,87.5,57.14,85.5,85.57,71.38,79.86,14.13,5.71,156.88,165.43,45.0,41.71,34.13,37.86,10.88,3.86,89,84.79923,79.06082,163.1882,1,0.9693498015403748,Barcelona
12,53.85,53.85,82.31,80.54,81.92,80.92,0.38,-0.38,164.23,161.46,37.85,38.92,42.31,39.38,-4.46,-0.46,33.33,33.33,83.0,78.83,85.17,85.17,-2.17,-6.33,168.17,164.0,35.5,37.17,44.0,44.5,-8.5,-7.33,89,88.23547,84.25853,170.98611,2,0.5788601040840149,Valencia
13,30.77,15.38,82.92,79.15,84.46,86.23,-1.54,-7.08,167.38,165.38,39.08,35.08,40.38,42.08,-1.31,-7.0,33.33,14.29,81.67,80.14,84.33,91.14,-2.67,-11.0,166.0,171.29,38.0,36.0,40.5,46.57,-2.5,-10.57,89,89.950035,84.28886,176.49527,1,0.8846933245658875,Fuenlabrada
14,90.0,55.56,88.2,88.56,70.3,87.67,17.9,0.89,158.5,176.22,44.3,43.33,37.1,42.11,7.2,1.22,80.0,50.0,88.2,87.0,71.0,88.5,17.2,-1.5,159.2,175.5,43.6,40.5,35.4,43.75,8.2,-3.25,88,91.746735,82.90513,173.26625,1,0.8454010486602783,Olimpia Milano
15,50.0,60.0,86.4,82.6,91.2,77.0,-4.8,5.6,177.6,159.6,45.8,42.5,43.6,41.3,2.2,1.2,80.0,100.0,90.4,83.4,85.4,70.4,5.0,13.0,175.8,153.8,47.0,44.8,43.2,39.2,3.8,5.6,88,74.829445,89.99495,172.2848,2,0.9519944787025452,Uni Treviso
16,44.44,20.0,76.0,77.2,77.89,86.7,-1.89,-9.5,153.89,163.9,39.78,36.4,37.56,45.7,2.22,-9.3,40.0,40.0,77.0,78.4,82.2,85.2,-5.2,-6.8,159.2,163.6,39.2,36.2,38.4,45.8,0.8,-9.6,88,83.1966,84.13947,169.25725,2,0.7740845680236816,Venezia
17,20.0,44.44,79.7,82.89,86.6,80.0,-6.9,2.89,166.3,162.89,41.2,40.78,42.2,39.33,-1.0,1.44,20.0,33.33,81.0,83.17,85.8,83.83,-4.8,-0.67,166.8,167.0,45.0,38.67,43.2,40.0,1.8,-1.33,88,83.57768,88.72495,172.963,2,0.8303936123847961,F. Bologna
18,30.0,40.0,74.0,76.7,81.6,79.0,-7.6,-2.3,155.6,155.7,37.2,41.8,41.7,37.9,-4.5,3.9,50.0,20.0,73.0,73.8,75.75,82.4,-2.75,-8.6,148.75,156.2,35.25,40.2,37.25,40.0,-2.0,0.2,88,74.410355,70.41197,145.32701,1,0.5475256443023682,Cantu
19,28.57,45.45,72.43,77.45,77.14,77.36,-4.71,0.09,149.57,154.82,35.0,38.36,40.43,39.36,-5.43,-1.0,25.0,50.0,75.75,75.83,80.0,76.67,-4.25,-0.83,155.75,152.5,38.0,37.83,41.0,39.0,-3.0,-1.17,88,75.42801,79.83545,156.57713,2,0.9557176232337952,Trieste
20,40.0,71.43,69.6,77.71,82.2,71.71,-12.6,6.0,151.8,149.43,34.4,32.86,42.6,33.57,-8.2,-0.71,100.0,50.0,96.0,72.25,88.0,71.25,8.0,1.0,184.0,143.5,49.0,32.5,40.0,35.25,9.0,-2.75,82,90.01694,83.68669,176.344,1,0.9985048770904541,Chorale Roanne
23,100.0,50.0,80.83,78.0,70.0,80.33,10.83,-2.33,150.83,158.33,42.0,39.17,35.67,45.0,6.33,-5.83,100.0,25.0,86.0,73.25,76.0,81.0,10.0,-7.75,162.0,154.25,48.5,37.25,40.0,46.0,8.5,-8.75,29,87.994934,74.80103,162.85097,1,0.9972808361053467,AEK
