,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
0,60.0,0.0,69.2,69.17,67.6,93.83,1.6,-24.67,136.8,163.0,36.8,35.83,36.6,48.33,0.2,-12.5,84,64,25,16,22,21,14,25,9,16,ING BSL
1,60.0,0.0,69.2,69.17,67.6,93.83,1.6,-24.67,136.8,163.0,36.8,35.83,36.6,48.33,0.2,-12.5,84,64,25,16,22,21,14,25,9,16,ING BSL
2,50.0,50.0,81.33,74.83,85.67,75.0,-4.33,-0.17,167.0,149.83,42.5,35.5,44.0,37.83,-1.5,-2.33,77,90,19,18,22,18,20,20,27,23,ING BSL
3,40.0,57.14,73.4,79.57,76.2,79.71,-2.8,-0.14,149.6,159.29,35.2,39.43,42.2,38.71,-7.0,0.71,79,75,14,21,21,23,20,23,17,15,Euroleague
4,75.0,14.29,83.13,76.43,71.75,86.29,11.38,-9.86,154.88,162.71,44.0,40.14,35.13,45.29,8.88,-5.14,87,74,32,19,18,18,25,16,12,21,Euroleague
5,42.86,66.67,79.0,87.83,80.86,84.0,-1.86,3.83,159.86,171.83,35.57,40.0,42.0,41.17,-6.43,-1.17,85,96,16,23,26,20,25,27,24,20,Euroleague
6,50.0,12.5,76.0,76.88,76.67,80.13,-0.67,-3.25,152.67,157.0,41.33,37.88,36.67,41.0,4.67,-3.13,84,81,30,20,17,17,24,17,23,17,Euroleague
7,80.0,20.0,91.2,66.2,72.2,84.6,19.0,-18.4,163.4,150.8,44.6,33.0,34.8,44.8,9.8,-11.8,91,59,21,21,21,28,13,19,13,14,Herbalife Nutrition Kadınlar Basketbol Ligi
8,28.57,0.0,76.29,72.6,82.0,86.4,-5.71,-13.8,158.29,159.0,37.57,35.2,45.43,39.8,-7.86,-4.6,89,76,16,27,29,17,18,22,16,20,Herbalife Nutrition Kadınlar Basketbol Ligi
9,100.0,0.0,108.0,99.0,99.0,108.0,9.0,-9.0,207.0,207.0,50.0,44.0,44.0,50.0,6.0,-6.0,108,99,29,21,32,26,19,25,28,27,NBA
10,100.0,0.0,112.0,98.0,98.0,112.0,14.0,-14.0,210.0,210.0,56.0,55.0,55.0,56.0,1.0,-1.0,112,98,25,31,21,35,31,24,17,26,NBA
11,100.0,0.0,114.0,113.0,113.0,114.0,1.0,-1.0,227.0,227.0,62.0,47.0,47.0,62.0,15.0,-15.0,114,113,25,37,26,26,27,20,34,32,NBA
