,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league,date
0,36.36,83.33,110.18,113.08,110.18,103.33,0.0,9.75,220.36,216.42,55.64,57.33,55.82,54.25,-0.18,3.08,16.67,100.0,110.17,109.67,113.0,102.67,-2.83,7.0,223.17,212.33,56.83,55.17,57.0,54.33,-0.17,0.83,92,94,24,25,19,24,19,26,22,27,NBA,2021-01-06
1,60.0,70.0,118.3,112.3,108.3,107.2,10.0,5.1,226.6,219.5,60.2,53.6,53.8,52.0,6.4,1.6,57.14,80.0,120.43,116.2,113.29,110.6,7.14,5.6,233.71,226.8,62.71,56.2,56.0,51.6,6.71,4.6,130,96,35,28,35,32,14,30,29,23,NBA,2021-01-06
2,36.36,83.33,110.18,113.08,110.18,103.33,0.0,9.75,220.36,216.42,55.64,57.33,55.82,54.25,-0.18,3.08,16.67,100.0,110.17,109.67,113.0,102.67,-2.83,7.0,223.17,212.33,56.83,55.17,57.0,54.33,-0.17,0.83,92,94,24,25,19,24,19,26,22,27,NBA,2021-01-06
3,50.0,20.0,116.9,107.6,109.8,118.4,7.1,-10.8,226.7,226.0,61.1,55.4,59.1,61.6,2.0,-6.2,57.14,20.0,117.86,107.6,108.14,119.8,9.71,-12.2,226.0,227.4,63.43,57.8,58.29,64.0,5.14,-6.2,123,116,34,28,31,30,22,43,31,20,NBA,2021-01-06
4,45.45,30.0,107.18,109.2,110.82,116.5,-3.64,-7.3,218.0,225.7,55.27,55.4,56.55,57.7,-1.27,-2.3,40.0,40.0,108.6,109.2,114.2,114.0,-5.6,-4.8,222.8,223.2,53.0,54.8,61.0,52.0,-8.0,2.8,113,116,27,17,40,29,36,27,22,31,NBA,2021-01-06
5,27.27,58.33,110.0,112.33,117.45,114.92,-7.45,-2.58,227.45,227.25,55.73,53.92,63.36,61.08,-7.64,-7.17,20.0,83.33,110.8,114.0,113.4,112.83,-2.6,1.17,224.2,226.83,55.8,52.67,59.6,56.67,-3.8,-4.0,108,111,39,15,31,23,21,24,36,30,NBA,2021-01-06
6,73.33,33.33,78.2,69.4,68.73,78.13,9.47,-8.73,146.93,147.53,39.27,32.53,36.33,39.6,2.93,-7.07,100.0,12.5,79.14,65.38,64.43,82.0,14.71,-16.63,143.57,147.38,41.29,32.25,33.43,42.0,7.86,-9.75,81,53,22,18,23,18,8,14,13,18,Herbalife Nutrition Kadınlar Basketbol Ligi,2021-01-06
7,80.0,60.0,94.8,86.4,82.2,89.6,12.6,-3.2,177.0,176.0,47.8,42.2,38.2,42.2,9.6,0.0,100.0,50.0,99.33,88.0,76.67,99.5,22.67,-11.5,176.0,187.5,47.67,46.0,34.33,46.5,13.33,-0.5,115,85,29,21,32,33,15,28,24,18,Basketball Champions League,2021-01-06
8,50.0,14.29,77.75,71.0,72.5,82.14,5.25,-11.14,150.25,153.14,34.75,35.57,36.0,40.86,-1.25,-5.29,33.33,0.0,75.67,69.33,72.0,82.0,3.67,-12.67,147.67,151.33,34.67,34.67,35.0,41.67,-0.33,-7.0,78,67,19,17,27,15,13,19,17,18,Basketball Champions League,2021-01-06
9,60.0,25.0,86.8,69.75,71.6,73.75,15.2,-4.0,158.4,143.5,49.2,32.0,37.0,38.0,12.2,-6.0,100.0,0.0,95.0,61.0,61.5,81.0,33.5,-20.0,156.5,142.0,54.0,24.0,29.0,38.5,25.0,-14.5,94,54,25,24,21,24,11,9,18,16,Basketball Champions League,2021-01-06
